imbalance_scenario,sample_size,seed,model,metric,value
(50:50),40,10,RandomForest,MCC,0.6666666666666666
(50:50),40,10,LogisticRegression,Accuracy,0.8333333333333334
(50:50),40,10,LogisticRegression,F1_score,0.8571428571428571
(50:50),40,10,LogisticRegression,Sensitivity,1.0
(50:50),40,10,LogisticRegression,Specificity,0.6666666666666666
(50:50),40,10,LogisticRegression,ROC_AUC,0.9166666666666667
(50:50),40,10,LogisticRegression,PR_AUC,0.9305555555555556
(50:50),40,10,LogisticRegression,Balanced_Accuracy,0.8333333333333333
(50:50),40,10,LogisticRegression,MCC,0.7071067811865476
(50:50),40,10,MLP,Accuracy,0.9166666666666666
(50:50),40,10,MLP,F1_score,0.9090909090909091
(50:50),40,10,MLP,Sensitivity,0.8333333333333334
(50:50),40,10,MLP,Specificity,1.0
(50:50),40,10,MLP,ROC_AUC,0.9444444444444445
(50:50),40,10,MLP,PR_AUC,0.9583333333333333
(50:50),40,10,MLP,Balanced_Accuracy,0.9166666666666667
(50:50),40,10,MLP,MCC,0.8451542547285166
(50:50),200,0,SVM,Accuracy,0.8166666666666667
(50:50),200,0,SVM,F1_score,0.8307692307692308
(50:50),200,0,SVM,Sensitivity,0.9
(50:50),200,0,SVM,Specificity,0.7333333333333333
(50:50),200,0,SVM,ROC_AUC,0.9333333333333333
(50:50),200,0,SVM,PR_AUC,0.9418642776357506
(50:50),200,0,SVM,Balanced_Accuracy,0.8166666666666667
(50:50),200,0,SVM,MCC,0.6423172335936725
(50:50),200,0,RandomForest,Accuracy,0.85
(50:50),200,0,RandomForest,F1_score,0.8571428571428571
(50:50),200,0,RandomForest,Sensitivity,0.9
(50:50),200,0,RandomForest,Specificity,0.8
(50:50),200,0,RandomForest,ROC_AUC,0.9333333333333333
(50:50),200,0,RandomForest,PR_AUC,0.928980357714373
(50:50),200,0,RandomForest,Balanced_Accuracy,0.8500000000000001
(50:50),200,0,RandomForest,MCC,0.7035264706814485
(50:50),200,0,LogisticRegression,Accuracy,0.8
(50:50),200,0,LogisticRegression,F1_score,0.8181818181818182
(50:50),200,0,LogisticRegression,Sensitivity,0.9
(50:50),200,0,LogisticRegression,Specificity,0.7
(50:50),200,0,LogisticRegression,ROC_AUC,0.9155555555555556
(50:50),200,0,LogisticRegression,PR_AUC,0.9185623323598671
(50:50),200,0,LogisticRegression,Balanced_Accuracy,0.8
(50:50),200,0,LogisticRegression,MCC,0.6123724356957946
(50:50),200,0,MLP,Accuracy,0.9
(50:50),200,0,MLP,F1_score,0.9032258064516129
(50:50),200,0,MLP,Sensitivity,0.9333333333333333
(50:50),200,0,MLP,Specificity,0.8666666666666667
(50:50),200,0,MLP,ROC_AUC,0.9700000000000001
(50:50),200,0,MLP,PR_AUC,0.9729724113910327
(50:50),200,0,MLP,Balanced_Accuracy,0.9
(50:50),200,0,MLP,MCC,0.8017837257372731
(50:50),200,1,SVM,Accuracy,0.9166666666666666
(50:50),200,1,SVM,F1_score,0.9180327868852459
(50:50),200,1,SVM,Sensitivity,0.9333333333333333
(50:50),200,1,SVM,Specificity,0.9
(50:50),200,1,SVM,ROC_AUC,0.9755555555555555
(50:50),200,1,SVM,PR_AUC,0.9813604767347408
(50:50),200,1,SVM,Balanced_Accuracy,0.9166666666666667
(50:50),200,1,SVM,MCC,0.8337966824563376
(50:50),200,1,RandomForest,Accuracy,0.8666666666666667
(50:50),200,1,RandomForest,F1_score,0.8666666666666667
(50:50),200,1,RandomForest,Sensitivity,0.8666666666666667
(50:50),200,1,RandomForest,Specificity,0.8666666666666667
(50:50),200,1,RandomForest,ROC_AUC,0.9583333333333334
(50:50),200,1,RandomForest,PR_AUC,0.9610167870842775
(50:50),200,1,RandomForest,Balanced_Accuracy,0.8666666666666667
(50:50),200,1,RandomForest,MCC,0.7333333333333333
(50:50),200,1,LogisticRegression,Accuracy,0.8333333333333334
(50:50),200,1,LogisticRegression,F1_score,0.8484848484848485
(50:50),200,1,LogisticRegression,Sensitivity,0.9333333333333333
(50:50),200,1,LogisticRegression,Specificity,0.7333333333333333
(50:50),200,1,LogisticRegression,ROC_AUC,0.9266666666666667
(50:50),200,1,LogisticRegression,PR_AUC,0.9121087687078127
(50:50),200,1,LogisticRegression,Balanced_Accuracy,0.8333333333333333
(50:50),200,1,LogisticRegression,MCC,0.6804138174397717
(50:50),200,1,MLP,Accuracy,0.9
(50:50),200,1,MLP,F1_score,0.90625
(50:50),200,1,MLP,Sensitivity,0.9666666666666667
(50:50),200,1,MLP,Specificity,0.8333333333333334
(50:50),200,1,MLP,ROC_AUC,0.9744444444444444
(50:50),200,1,MLP,PR_AUC,0.9733030681225514
(50:50),200,1,MLP,Balanced_Accuracy,0.9
(50:50),200,1,MLP,MCC,0.807207352795575
(50:50),200,3,SVM,Accuracy,0.7666666666666667
(50:50),200,3,SVM,F1_score,0.7307692307692307
(50:50),200,3,SVM,Sensitivity,0.6333333333333333
(50:50),200,3,SVM,Specificity,0.9
(50:50),200,3,SVM,ROC_AUC,0.9277777777777777
(50:50),200,3,SVM,PR_AUC,0.9181944096987003
(50:50),200,3,SVM,Balanced_Accuracy,0.7666666666666666
(50:50),200,3,SVM,MCC,0.5533715710928597
(50:50),200,3,RandomForest,Accuracy,0.7333333333333333
(50:50),200,3,RandomForest,F1_score,0.68
(50:50),200,3,RandomForest,Sensitivity,0.5666666666666667
(50:50),200,3,RandomForest,Specificity,0.9
(50:50),200,3,RandomForest,ROC_AUC,0.8666666666666667
(50:50),200,3,RandomForest,PR_AUC,0.8548744540573773
(50:50),200,3,RandomForest,Balanced_Accuracy,0.7333333333333334
(50:50),200,3,RandomForest,MCC,0.49497474683058323
(50:50),200,3,LogisticRegression,Accuracy,0.7833333333333333
(50:50),200,3,LogisticRegression,F1_score,0.7636363636363637
(50:50),200,3,LogisticRegression,Sensitivity,0.7
(50:50),200,3,LogisticRegression,Specificity,0.8666666666666667
(50:50),200,3,LogisticRegression,ROC_AUC,0.9188888888888889
(50:50),200,3,LogisticRegression,PR_AUC,0.9144425542649495
(50:50),200,3,LogisticRegression,Balanced_Accuracy,0.7833333333333333
(50:50),200,3,LogisticRegression,MCC,0.5747048932153912
(50:50),200,3,MLP,Accuracy,0.85
(50:50),200,3,MLP,F1_score,0.8421052631578947
(50:50),200,3,MLP,Sensitivity,0.8
(50:50),200,3,MLP,Specificity,0.9
(50:50),200,3,MLP,ROC_AUC,0.9055555555555556
(50:50),200,3,MLP,PR_AUC,0.9007542046329091
(50:50),200,3,MLP,Balanced_Accuracy,0.8500000000000001
(50:50),200,3,MLP,MCC,0.7035264706814485
(50:50),200,4,SVM,Accuracy,0.8666666666666667
(50:50),200,4,SVM,F1_score,0.8620689655172413
(50:50),200,4,SVM,Sensitivity,0.8333333333333334
(50:50),200,4,SVM,Specificity,0.9
(50:50),200,4,SVM,ROC_AUC,0.9266666666666667
(50:50),200,4,SVM,PR_AUC,0.9415035776143436
(50:50),200,4,SVM,Balanced_Accuracy,0.8666666666666667
(50:50),200,4,SVM,MCC,0.734968415259167
(50:50),200,4,RandomForest,Accuracy,0.7666666666666667
(50:50),200,4,RandomForest,F1_score,0.7741935483870968
(50:50),200,4,RandomForest,Sensitivity,0.8
(50:50),200,4,RandomForest,Specificity,0.7333333333333333
(50:50),200,4,RandomForest,ROC_AUC,0.9
(50:50),200,4,RandomForest,PR_AUC,0.9214929858501286
(50:50),200,4,RandomForest,Balanced_Accuracy,0.7666666666666666
(50:50),200,4,RandomForest,MCC,0.5345224838248488
(50:50),200,4,LogisticRegression,Accuracy,0.8333333333333334
(50:50),200,4,LogisticRegression,F1_score,0.8275862068965517
(50:50),200,4,LogisticRegression,Sensitivity,0.8
(50:50),200,4,LogisticRegression,Specificity,0.8666666666666667
(50:50),200,4,LogisticRegression,ROC_AUC,0.9311111111111111
(50:50),200,4,LogisticRegression,PR_AUC,0.9471787331501225
(50:50),200,4,LogisticRegression,Balanced_Accuracy,0.8333333333333334
(50:50),200,4,LogisticRegression,MCC,0.6681531047810609
(50:50),200,4,MLP,Accuracy,0.8833333333333333
(50:50),200,4,MLP,F1_score,0.8852459016393442
(50:50),200,4,MLP,Sensitivity,0.9
(50:50),200,4,MLP,Specificity,0.8666666666666667
(50:50),200,4,MLP,ROC_AUC,0.9422222222222223
(50:50),200,4,MLP,PR_AUC,0.949687737655889
(50:50),200,4,MLP,Balanced_Accuracy,0.8833333333333333
(50:50),200,4,MLP,MCC,0.7670929478598306
(50:50),200,5,SVM,Accuracy,0.7333333333333333
(50:50),200,5,SVM,F1_score,0.7333333333333333
(50:50),200,5,SVM,Sensitivity,0.7333333333333333
(50:50),200,5,SVM,Specificity,0.7333333333333333
(50:50),200,5,SVM,ROC_AUC,0.8888888888888888
(50:50),200,5,SVM,PR_AUC,0.8991570333123525
(50:50),200,5,SVM,Balanced_Accuracy,0.7333333333333333
(50:50),200,5,SVM,MCC,0.4666666666666667
(50:50),200,5,RandomForest,Accuracy,0.8
(50:50),200,5,RandomForest,F1_score,0.8
(50:50),200,5,RandomForest,Sensitivity,0.8
(50:50),200,5,RandomForest,Specificity,0.8
(50:50),200,5,RandomForest,ROC_AUC,0.8794444444444445
(50:50),200,5,RandomForest,PR_AUC,0.8894156890134821
(50:50),200,5,RandomForest,Balanced_Accuracy,0.8
(50:50),200,5,RandomForest,MCC,0.6
(50:50),200,5,LogisticRegression,Accuracy,0.7666666666666667
(50:50),200,5,LogisticRegression,F1_score,0.7586206896551724
(50:50),200,5,LogisticRegression,Sensitivity,0.7333333333333333
(50:50),200,5,LogisticRegression,Specificity,0.8
(50:50),200,5,LogisticRegression,ROC_AUC,0.8477777777777777
(50:50),200,5,LogisticRegression,PR_AUC,0.8619225243071827
(50:50),200,5,LogisticRegression,Balanced_Accuracy,0.7666666666666666
(50:50),200,5,LogisticRegression,MCC,0.5345224838248488
(50:50),200,5,MLP,Accuracy,0.8333333333333334
(50:50),200,5,MLP,F1_score,0.8333333333333334
(50:50),200,5,MLP,Sensitivity,0.8333333333333334
(50:50),200,5,MLP,Specificity,0.8333333333333334
(50:50),200,5,MLP,ROC_AUC,0.9366666666666668
(50:50),200,5,MLP,PR_AUC,0.9313586011516326
